USPS,NAME,INTPTLAT,INTPTLONG      , DENSITY 
Alabama,Autauga County,32.532237,-86.64644,93.54 
Alabama,Baldwin County,30.659218,-87.746067,137.14 
Alabama,Barbour County,31.870253,-85.405104,28.11 
Alabama,Bibb County,33.015893,-87.127148,35.99 
Alabama,Blount County,33.977358,-86.56644,89.70 
Alabama,Bullock County,32.101759,-85.717261,16.28 
Alabama,Butler County,31.751667,-86.681969,25.33 
Alabama,Calhoun County,33.770516,-85.827909,188.62 
Alabama,Chambers County,32.915504,-85.394032,56.35 
Alabama,Cherokee County,34.069515,-85.654242,47.03 
Alabama,Chilton County,32.854051,-86.726607,63.73 
Alabama,Choctaw County,31.990954,-88.248889,14.06 
Alabama,Clarke County,31.685521,-87.818624,19.31 
Alabama,Clay County,33.2704,-85.863525,21.98 
Alabama,Cleburne County,33.671964,-85.516126,26.76 
Alabama,Coffee County,31.402258,-85.989602,76.45 
Alabama,Colbert County,34.703112,-87.801457,92.39 
Alabama,Conecuh County,31.430926,-86.988722,14.44 
Alabama,Coosa County,32.931445,-86.243482,16.46 
Alabama,Covington County,31.243987,-86.448721,35.89 
Alabama,Crenshaw County,31.732826,-86.319222,22.70 
Alabama,Cullman County,34.131923,-86.869267,113.57 
Alabama,Dale County,31.430654,-85.609476,87.25 
Alabama,Dallas County,32.33354,-87.114356,39.14 
Alabama,DeKalb County,34.460929,-85.803992,91.86 
Alabama,Elmore County,32.597229,-86.142735,132.41 
Alabama,Escambia County,31.122287,-87.16841,38.88 
Alabama,Etowah County,34.047641,-86.034263,191.56 
Alabama,Fayette County,33.716157,-87.764292,26.18 
Alabama,Franklin County,34.441989,-87.842814,49.47 
Alabama,Geneva County,31.092382,-85.821022,45.80 
Alabama,Greene County,32.844497,-87.9642,12.72 
Alabama,Hale County,32.752796,-87.623061,22.87 
Alabama,Henry County,31.516978,-85.239971,30.63 
Alabama,Houston County,31.158183,-85.296411,180.60 
Alabama,Jackson County,34.764114,-85.980056,47.99 
Alabama,Jefferson County,33.553444,-86.896536,593.21 
Alabama,Lamar County,33.787085,-88.087431,22.89 
Alabama,Lauderdale County,34.904122,-87.650997,138.30 
Alabama,Lawrence County,34.529776,-87.321865,47.72 
Alabama,Lee County,32.604064,-85.353048,269.84 
Alabama,Limestone County,34.810239,-86.981399,171.75 
Alabama,Lowndes County,32.147888,-86.650586,13.93 
Alabama,Macon County,32.387027,-85.692887,30.29 
Alabama,Madison County,34.764238,-86.55108,457.24 
Alabama,Marengo County,32.247591,-87.791091,19.52 
Alabama,Marion County,34.138219,-87.881551,40.09 
Alabama,Marshall County,34.309564,-86.321668,169.85 
Alabama,Mobile County,30.684572,-88.196568,336.55 
Alabama,Monroe County,31.580332,-87.383266,20.54 
Alabama,Montgomery County,32.202881,-86.204461,287.47 
Alabama,Morgan County,34.454484,-86.846402,205.47 
Alabama,Perry County,32.639005,-87.293827,12.70 
Alabama,Pickens County,33.296793,-88.096863,22.62 
Alabama,Pike County,31.798651,-85.941604,49.60 
Alabama,Randolph County,33.296475,-85.464068,39.14 
Alabama,Russell County,32.289811,-85.18698,90.12 
Alabama,St. Clair County,33.712963,-86.315663,140.43 
Alabama,Shelby County,33.263043,-86.678089,274.65 
Alabama,Sumter County,32.597481,-88.200057,14.04 
Alabama,Talladega County,33.369314,-86.17593,108.34 
Alabama,Tallapoosa County,32.863308,-85.799618,56.52 
Alabama,Tuscaloosa County,33.29022,-87.522783,158.16 
Alabama,Walker County,33.791558,-87.301094,80.54 
Alabama,Washington County,31.405217,-88.197564,15.16 
Alabama,Wilcox County,31.990082,-87.304935,11.96 
Alabama,Winston County,34.154566,-87.365346,38.60 
Alaska,Aleutians East Borough,55.245044,-161.997477,0.50 
Alaska,Aleutians West Census Area,51.948964,179.621188,1.30 
Alaska,Anchorage Municipality,61.17425,-149.284329,170.81 
Alaska,Bethel Census Area,60.929141,-160.152625,0.45 
Alaska,Bristol Bay Borough,58.741647,-156.966909,1.82 
Alaska,Denali Borough,63.682039,-150.027016,0.16 
Alaska,Dillingham Census Area,59.543326,-158.267123,0.27 
Alaska,Fairbanks North Star Borough,64.676044,-146.548159,13.50 
Alaska,Haines Borough,59.098404,-135.575791,1.06 
Alaska,Hoonah-Angoon Census Area,58.253462,-136.320731,0.33 
Alaska,Juneau City and Borough,58.37291,-134.178445,11.88 
Alaska,Kenai Peninsula Borough,60.360766,-152.05264,3.65 
Alaska,Ketchikan Gateway Borough,55.449938,-131.106685,2.87 
Alaska,Kodiak Island Borough,57.7044,-153.918372,2.02 
Alaska,Kusilvak Census Area,62.283588,-163.190171,0.49 
Alaska,Lake and Peninsula Borough,58.108507,-156.413413,0.07 
Alaska,Matanuska-Susitna Borough,62.279094,-149.619094,4.35 
Alaska,Nome Census Area,64.783686,-164.188912,0.44 
Alaska,North Slope Borough,69.449343,-153.47283,0.11 
Alaska,Northwest Arctic Borough,67.005066,-160.021086,0.22 
Alaska,Petersburg Borough,57.112458,-133.008598,1.11 
Alaska,Prince of Wales-Hyder Census Area,55.682773,-133.162389,1.22 
Alaska,Sitka City and Borough,57.193204,-135.367396,3.01 
Alaska,Skagway Municipality,59.560379,-135.338279,2.65 
Alaska,Southeast Fairbanks Census Area,63.864997,-143.218628,0.28 
Alaska,Valdez-Cordova Census Area,61.349843,-145.023109,0.27 
Alaska,Wrangell City and Borough,56.317416,-132.343978,0.98 
Alaska,Yakutat City and Borough,60.017453,-140.416942,0.08 
Alaska,Yukon-Koyukuk Census Area,65.375727,-151.57785,0.04 
Arizona,Apache County,35.385084,-109.490172,6.41 
Arizona,Cochise County,31.840129,-109.775163,20.41 
Arizona,Coconino County,35.829692,-111.773728,7.67 
Arizona,Gila County,33.789618,-110.81187,11.33 
Arizona,Graham County,32.931828,-109.87831,8.24 
Arizona,Greenlee County,33.238872,-109.242323,5.15 
Arizona,La Paz County,33.72761,-114.038806,4.69 
Arizona,Maricopa County,33.345176,-112.49893,479.40 
Arizona,Mohave County,35.717705,-113.749689,15.72 
Arizona,Navajo County,35.390785,-110.321025,11.10 
Arizona,Pima County,32.128043,-111.783657,113.08 
Arizona,Pinal County,32.918521,-111.36634,83.33 
Arizona,Santa Cruz County,31.525733,-110.845228,37.62 
Arizona,Yavapai County,34.631071,-112.577225,28.56 
Arizona,Yuma County,32.773942,-113.910905,38.47 
Arkansas,Arkansas County,34.28957,-91.376547,17.97 
Arkansas,Ashley County,33.190835,-91.772267,21.66 
Arkansas,Baxter County,36.280268,-92.329949,75.09 
